代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
大阪駅,すべての時間帯,2021年4月第3週,市区町村内,-22.637479406
大阪駅,すべての時間帯,2021年4月第3週,都道府県内,-16.553041812
大阪駅,すべての時間帯,2021年4月第3週,都道府県外,-42.959677269
大阪駅,すべての時間帯,2021年4月第4週,市区町村内,-29.544822832
大阪駅,すべての時間帯,2021年4月第4週,都道府県内,-20.871227457
大阪駅,すべての時間帯,2021年4月第4週,都道府県外,-48.254810135
大阪駅,すべての時間帯,2021年4月第5週,市区町村内,-51.298606757
大阪駅,すべての時間帯,2021年4月第5週,都道府県内,-47.049599532
大阪駅,すべての時間帯,2021年4月第5週,都道府県外,-65.279525478
大阪駅,すべての時間帯,2021年5月第1週,市区町村内,-55.583868513
大阪駅,すべての時間帯,2021年5月第1週,都道府県内,-39.873251186
大阪駅,すべての時間帯,2021年5月第1週,都道府県外,-71.971485524
大阪駅,すべての時間帯,2021年5月第2週,市区町村内,-38.772728012
大阪駅,すべての時間帯,2021年5月第2週,都道府県内,-36.166809510
大阪駅,すべての時間帯,2021年5月第2週,都道府県外,-55.421916513
大阪駅,すべての時間帯,2021年5月第3週,市区町村内,-46.249751583
大阪駅,すべての時間帯,2021年5月第3週,都道府県内,-39.290331037
大阪駅,すべての時間帯,2021年5月第3週,都道府県外,-59.508225399
大阪駅,すべての時間帯,2021年5月第4週,市区町村内,-42.427232467
大阪駅,すべての時間帯,2021年5月第4週,都道府県内,-37.017307160
大阪駅,すべての時間帯,2021年5月第4週,都道府県外,-58.304998334
大阪駅,すべての時間帯,2021年6月第1週,市区町村内,-34.577579628
大阪駅,すべての時間帯,2021年6月第1週,都道府県内,-27.422952724
大阪駅,すべての時間帯,2021年6月第1週,都道府県外,-47.309390546
大阪駅,すべての時間帯,2021年6月第2週,市区町村内,-29.828243842
大阪駅,すべての時間帯,2021年6月第2週,都道府県内,-23.459303294
大阪駅,すべての時間帯,2021年6月第2週,都道府県外,-47.569609098
大阪駅,すべての時間帯,2021年6月第3週,市区町村内,-30.369593105
大阪駅,すべての時間帯,2021年6月第3週,都道府県内,-23.424427831
大阪駅,すべての時間帯,2021年6月第3週,都道府県外,-47.101761336
大阪駅,すべての時間帯,2021年6月第4週,市区町村内,-21.592149739
大阪駅,すべての時間帯,2021年6月第4週,都道府県内,-9.365506865
大阪駅,すべての時間帯,2021年6月第4週,都道府県外,-33.248718474
大阪駅,すべての時間帯,2021年7月第1週,市区町村内,-18.401730660
大阪駅,すべての時間帯,2021年7月第1週,都道府県内,-7.260192182
大阪駅,すべての時間帯,2021年7月第1週,都道府県外,-26.170980068
大阪駅,すべての時間帯,2021年7月第2週,市区町村内,-21.164147375
大阪駅,すべての時間帯,2021年7月第2週,都道府県内,-9.239930874
大阪駅,すべての時間帯,2021年7月第2週,都道府県外,-31.594471485
