代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
宝塚駅,すべての時間帯,2020年11月第4週,市区町村内,4.108395215
宝塚駅,すべての時間帯,2020年11月第4週,都道府県内,-18.220949406
宝塚駅,すべての時間帯,2020年11月第4週,都道府県外,-5.352962987
宝塚駅,すべての時間帯,2020年12月第1週,市区町村内,3.637962282
宝塚駅,すべての時間帯,2020年12月第1週,都道府県内,-13.492691445
宝塚駅,すべての時間帯,2020年12月第1週,都道府県外,7.730081003
宝塚駅,すべての時間帯,2020年12月第2週,市区町村内,4.045323317
宝塚駅,すべての時間帯,2020年12月第2週,都道府県内,-14.729685062
宝塚駅,すべての時間帯,2020年12月第2週,都道府県外,8.037096919
宝塚駅,すべての時間帯,2020年12月第3週,市区町村内,2.212971953
宝塚駅,すべての時間帯,2020年12月第3週,都道府県内,-11.771313083
宝塚駅,すべての時間帯,2020年12月第3週,都道府県外,2.129757640
宝塚駅,すべての時間帯,2020年12月第4週,市区町村内,-2.277547769
宝塚駅,すべての時間帯,2020年12月第4週,都道府県内,-16.436365739
宝塚駅,すべての時間帯,2020年12月第4週,都道府県外,0.394114556
宝塚駅,すべての時間帯,2020年12月第5週,市区町村内,4.061859038
宝塚駅,すべての時間帯,2020年12月第5週,都道府県内,-5.024308906
宝塚駅,すべての時間帯,2020年12月第5週,都道府県外,-18.682817033
宝塚駅,すべての時間帯,2021年1月第1週,市区町村内,-5.995312233
宝塚駅,すべての時間帯,2021年1月第1週,都道府県内,1.730851167
宝塚駅,すべての時間帯,2021年1月第1週,都道府県外,-39.377056658
宝塚駅,すべての時間帯,2021年1月第2週,市区町村内,-5.166031541
宝塚駅,すべての時間帯,2021年1月第2週,都道府県内,-20.768082335
宝塚駅,すべての時間帯,2021年1月第2週,都道府県外,16.624378925
宝塚駅,すべての時間帯,2021年1月第3週,市区町村内,-5.895630197
宝塚駅,すべての時間帯,2021年1月第3週,都道府県内,-18.591814467
宝塚駅,すべての時間帯,2021年1月第3週,都道府県外,12.213634470
宝塚駅,すべての時間帯,2021年1月第4週,市区町村内,-3.935256858
宝塚駅,すべての時間帯,2021年1月第4週,都道府県内,-12.288681261
宝塚駅,すべての時間帯,2021年1月第4週,都道府県外,3.681942812
宝塚駅,すべての時間帯,2021年2月第1週,市区町村内,-8.115948392
