mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52350138,28,28102,2020,1,0,0,560
52350138,28,28102,2020,1,0,1,178
52350138,28,28102,2020,1,0,2,356
52350138,28,28102,2020,1,1,0,1335
52350138,28,28102,2020,1,1,1,367
52350138,28,28102,2020,1,1,2,792
52350138,28,28102,2020,1,2,0,1085
52350138,28,28102,2020,1,2,1,306
52350138,28,28102,2020,1,2,2,651
52350139,28,28102,2020,1,0,0,37
52350139,28,28102,2020,1,0,2,19
52350139,28,28102,2020,1,1,0,37
52350139,28,28102,2020,1,1,2,16
52350139,28,28102,2020,1,2,0,37
52350139,28,28102,2020,1,2,2,17
52350147,28,28102,2020,1,0,0,17058
52350147,28,28102,2020,1,0,1,18483
52350147,28,28102,2020,1,0,2,17782
52350147,28,28102,2020,1,1,0,20603
52350147,28,28102,2020,1,1,1,18757
52350147,28,28102,2020,1,1,2,19723
52350147,28,28102,2020,1,2,0,19460
52350147,28,28102,2020,1,2,1,18668
52350147,28,28102,2020,1,2,2,19097
52350148,28,28102,2020,1,0,0,8870
52350148,28,28102,2020,1,0,1,8765
52350148,28,28102,2020,1,0,2,8871
52350148,28,28102,2020,1,1,0,8906
52350148,28,28102,2020,1,1,1,8460
52350148,28,28102,2020,1,1,2,8751
52350148,28,28102,2020,1,2,0,8894
52350148,28,28102,2020,1,2,1,8559
52350148,28,28102,2020,1,2,2,8790
52350149,28,28102,2020,1,0,0,3188
52350149,28,28102,2020,1,0,1,2003
52350149,28,28102,2020,1,0,2,2576
52350149,28,28102,2020,1,1,0,4598
52350149,28,28102,2020,1,1,1,1975
52350149,28,28102,2020,1,1,2,3204
52350149,28,28102,2020,1,2,0,4143
52350149,28,28102,2020,1,2,1,1984
52350149,28,28102,2020,1,2,2,3002
52350157,28,28102,2020,1,0,0,15126
52350157,28,28102,2020,1,0,1,16019
52350157,28,28102,2020,1,0,2,15147
52350157,28,28102,2020,1,1,0,12992
52350157,28,28102,2020,1,1,1,16257
52350157,28,28102,2020,1,1,2,14441
